,,"\e{S}kandal, Hau\e{s}, Bu\e{s}, Ei\e{s}",,,,,,,,,,
,,"Nu\e{ss}, Wa\e{ss}er, e\e{ss}en, Disku\e{ss}ion",,,,,,,,,,
,,"So\e{ß}e, genie\e{ß}en, wei\e{ß}",,,,,,,,,,
,,"\e{Z}ahl, \e{Z}eit, \e{Z}oo, \e{z}eigen, \e{z}erstören",,,,,,,,,,
,,"\e{C}elsius, \e{c}ir\e{c}a, Mer\e{c}edes",,,,,,,,,,
,,"Ka\e{tz}e, Pla\e{tz}, je\e{tz}t, Si\e{tz}",,,,,,,,,,
,,"Rä\e{ts}el, nich\e{ts}, berei\e{ts}",,,,,,,,,,
,,"aben\e{ds}, nirgen\e{ds}",,,,,,,,,,
,,"Pa\e{ti}ent, Na\e{ti}on, Funk\e{ti}on, Lek\e{ti}on",,,,,,,,,,
,,"\e{Sp}rache, \e{sp}rechen, \e{Sp}rudel",,,,,,,,,,
,,"\e{St}rand, \e{St}ress, \e{St}reit, \e{St}raße",,,,,,,,,,
,,"Fen\e{st}er, Te\e{st}, be\e{st}, Kun\e{st}",,,,,,,,,,
,,"\e{Ch}inesis\e{ch}, lei\e{ch}t, Mil\e{ch}",,,,,,,,,,
,,"wicht\e{ig}, wen\e{ig}, fließ\e{ig}",,,,,,,,,,
,,"\e{H}aus, \e{H}aut, \e{h}elfen, \e{h}alb",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"\e{J}apan, \e{j}eder, \e{j}a, \e{J}oghurt",,,,,,,,,,
,,"\e{Y}oga, \e{Y}acht, \e{Y}en",,,,,,,,,,
,,"E\e{ng}lisch, A\e{ng}st, si\e{ng}en, la\e{ng}",,,,,,,,,,
,,"Schra\e{nk}, ta\e{nk}en, da\e{nk}en",,,,,,,,,,
,,"Ke\e{ks}, lin\e{ks}, Ko\e{ks}",,,,,,,,,,
,,"Fa\e{x}, Te\e{x}t, Pra\e{x}is, Le\e{x}ikon",,,,,,,,,,
,,"Fu\e{chs}, wa\e{chs}en, se\e{chs}",,,,,,,,,,
,,"\e{Pf}und, \e{Pf}ad, \e{Pf}licht, \e{pf}eifen",,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,"j\e{a}, d\e{a}, T\e{a}t, k\e{a}m",,,,,,,,,,
,,"B\e{ah}n, H\e{ah}n, W\e{ah}l, n\e{ah}",,,,,,,,,,
,,"St\e{aa}t, S\e{aa}l, M\e{aa}t, W\e{aa}ge",,,,,,,,,,
,,"m\e{i}r, K\e{i}no, \e{I}dee, K\e{i}w\e{i}",,,,,,,,,,
,,"\e{ih}m, \e{ih}nen, \e{ih}r, \e{ih}n",,,,,,,,,,
,,"s\e{ie}, L\e{ie}be, B\e{ie}r, V\e{ie}h, z\e{ie}hen",,,,,,,,,,
,,"w\e{o}, H\e{o}f, Br\e{o}t, F\e{o}t\e{o}",,,,,,,,,,
